0 97 2932.1172796749652 1310402.3779296875 0.32385129255534739 |[[-0.4522108   0.55155497 -0.08031245]]|
1 674 41723.748469407452 21319534.952148438 0.39382887317874038 |[[-0.03472323  0.73801398 -0.13243242]]|
2 2183 124620.50811542815 34531972.453857422 0.45448886377315745 |[[ 0.5202783   0.81112537 -0.01448723]]|
3 2706 38977.896626587884 12669810.622070312 0.44204461445739945 |[[-0.45385768  0.66581625 -0.05151059]]|
4 3242 41580.381033525744 12388318.228820801 0.42497461899947786 |[[ 0.42979747  0.77643588 -0.10065219]]|
5 5693 208184.52404867555 51146649.55291748 0.35068805198929881 |[[ 0.79477152  0.85850882 -0.0406577 ]]|
6 6254 41680.897531974493 10462887.581115723 0.40493078195283566 |[[-0.65856105  0.86756676 -0.04053452]]|
7 6838 40643.198085109922 15648264.614318848 0.41367326379218272 |[[-0.73526452  0.82063708 -0.00843291]]|
8 7315 33116.090925791454 8417152.5573120117 0.34941421654381427 |[[-0.77022813  0.88953159 -0.00433019]]|
9 7470 11204.24454896825 5893947.8988037109 0.35544598962431556 |[[ 0.86324115  0.87450969 -0.03465115]]|
10 7999 34711.87869315326 10309826.848510742 0.33574166454155152 |[[ 0.8295766   0.9023669  -0.03882104]]|
11 8182 11568.541572276195 4441681.8172607422 0.34404886392607603 |[[-0.11182305  0.93780556 -0.01375479]]|
12 8670 32492.190861368454 14962601.461303711 0.35206236405675556 |[[-0.90331323  0.95901452 -0.00958246]]|
13 8790 7531.0966625836854 3180168.7694091797 0.35152269329546076 |[[  8.76490364e-01   9.56255874e-01  -6.65378238e-04]]|
14 8981 11297.224580299086 6910251.5816040039 0.30763394974983987 |[[-0.9152654   0.95370703 -0.00930272]]|
15 9105 7437.5537554330413 3705222.0946044922 0.34976634693110248 |[[ 0.93280795  0.95128492 -0.00933131]]|
16 9547 29705.216917124246 17619379.785400391 0.31975942294728726 |[[-0.97317922  0.98546656 -0.00314603]]|
17 9733 11320.2120654299 5152926.6397705078 0.35324064621648033 |[[ 0.97383795  0.99215531 -0.0030081 ]]|
18 10078 22241.202855285643 17588601.564941406 0.32339684588144874 |[[  1.00000000e+00   1.00000000e+00   1.33240961e-19]]|
19 10333 16543.478919208846 16091039.538818359 0.33675063740900546 |[[ -1.00000000e+00   1.00000000e+00   1.33961291e-16]]|
20 10510 10380.788009082706 5065000.6442871094 0.35027374487854301 |[[  1.00000000e+00   1.00000000e+00   2.70477927e-18]]|
21 11011 33044.165265573465 21080960.033691406 0.28795233945455895 |[[  1.00000000e+00   1.00000000e+00   4.78283489e-14]]|
22 11148 7759.5850421926461 3462862.2047119141 0.34039075866306606 |[[ -1.00000000e+00   1.00000000e+00   6.33548922e-18]]|
23 11639 31195.213707425468 16580453.650146484 0.33879096750293092 |[[ -1.00000000e+00   1.00000000e+00   1.28714804e-17]]|
24 12149 33323.632245116882 25114584.134399414 0.34783614083652026 |[[  1.00000000e+00   1.00000000e+00   5.23196859e-25]]|
25 12351 12175.716749328098 6827374.5711669922 0.34589990734884501 |[[  1.00000000e+00   1.00000000e+00   7.29646082e-21]]|
26 12848 32374.085647165277 21798596.248779297 0.35060632147058962 |[[  1.00000000e+00   1.00000000e+00   3.36930717e-21]]|
27 12927 3806.0635985303975 1902862.6910400391 0.30043982855766493 |[[ -1.00000000e+00   1.00000000e+00   2.42565983e-17]]|
28 13399 30152.869971776647 14865895.751953125 0.34533097517750677 |[[ -1.00000000e+00   1.00000000e+00   2.41401161e-16]]|
29 13531 7683.3801821655115 4299937.0906982422 0.34939278909501681 |[[ -1.00000000e+00   1.00000000e+00   2.30580318e-17]]|
30 13608 4050.4717723394519 5363896.3745117188 0.32614698823774724 |[[ -1.00000000e+00   1.00000000e+00   4.50461750e-17]]|
31 13947 22178.142786167282 11214138.203125 0.34252208890920233 |[[  1.00000000e+00   1.00000000e+00   3.64767692e-22]]|
32 14073 7763.28418855577 6723674.5416259766 0.34194435685679098 |[[ -1.00000000e+00   1.00000000e+00   8.73510337e-17]]|
33 14563 32743.102841478249 24200000.232788086 0.34052774175137451 |[[ -1.00000000e+00   1.00000000e+00   8.69914314e-20]]|
34 14740 11439.760390545918 10441166.413208008 0.34574526849179987 |[[  1.00000000e+00   1.00000000e+00   1.99258261e-20]]|
35 14877 7942.2985087318921 7200659.0258789062 0.3372889947445919 |[[  1.00000000e+00   1.00000000e+00   1.23204462e-23]]|
36 15017 8424.2750480159248 10104533.380371094 0.34540760573903123 |[[  1.00000000e+00   1.00000000e+00   6.13254472e-23]]|
37 15158 8299.2763045774936 2639245.8044433594 0.34243150733534566 |[[  1.00000000e+00   1.00000000e+00   6.31593312e-21]]|
38 15649 34567.619778016589 23982663.961181641 0.35179796937970376 |[[  1.00000000e+00   1.00000000e+00   7.87978265e-23]]|
39 15781 7650.0409437622093 7219351.6108398438 0.34286134198410617 |[[ -1.00000000e+00   1.00000000e+00   7.44595099e-17]]|
40 15903 7515.3423360801535 5550933.72265625 0.34112826201795504 |[[ -1.00000000e+00   1.00000000e+00   2.27631825e-15]]|
41 16017 6332.8696222453418 4851112.0290527344 0.34039456400507906 |[[ -1.00000000e+00   1.00000000e+00   1.69942106e-17]]|
42 16366 23234.535893873719 22147150.047363281 0.3290858681274782 |[[  1.00000000e+00   1.00000000e+00   2.82148619e-19]]|
43 16492 7129.9999634005071 9432653.9749755859 0.35040746324403582 |[[ -1.00000000e+00   1.00000000e+00   1.50839094e-18]]|
44 16576 4473.9821804994253 5655715.3591308594 0.33372646403847112 |[[  1.00000000e+00   1.00000000e+00   1.65822338e-19]]|
45 16691 7040.3176309037053 4520209.4821777344 0.35031109122806137 |[[  1.00000000e+00   1.00000000e+00   2.71485666e-19]]|
46 16811 7111.546883067258 5909267.4997558594 0.3478825244671862 |[[ -1.00000000e+00   1.00000000e+00   1.51370485e-19]]|
47 17275 30979.051017271042 23866996.406494141 0.34141151403334746 |[[ -1.00000000e+00   1.00000000e+00   5.76929578e-19]]|
48 17532 16099.486826794187 21056495.709716797 0.3417308304366492 |[[ -1.00000000e+00   1.00000000e+00   7.63133414e-19]]|
49 18027 33560.092098316185 33983586.864868164 0.34409963497887375 |[[ -1.00000000e+00   1.00000000e+00   6.52314714e-18]]|
50 18147 6528.3112910912487 8150020.6586914062 0.34115449451770391 |[[ -1.00000000e+00   1.00000000e+00   2.04281972e-18]]|
51 18649 33086.783919165711 27544937.066650391 0.33568244420160426 |[[ -1.00000000e+00   1.00000000e+00   3.13191699e-19]]|
52 18733 4533.7319364710838 4528389.4831542969 0.32557529005841651 |[[  1.00000000e+00   1.00000000e+00   2.01033000e-16]]|
53 18908 10477.813998836185 10530082.174560547 0.35004678139185585 |[[  1.00000000e+00   1.00000000e+00   8.84707136e-18]]|
54 18987 4355.4880303189375 3312424.5676269531 0.33499210315112476 |[[  1.00000000e+00   1.00000000e+00   9.76301987e-24]]|
55 19071 4533.7266148072467 7001376.3676757812 0.32557979376170459 |[[  1.00000000e+00   1.00000000e+00   1.21123308e-15]]|
56 19192 7110.5230348169234 6057345.0029296875 0.34347917089583163 |[[ -1.00000000e+00   1.00000000e+00   1.17403275e-18]]|
57 19276 4533.7266148072467 4673289.5290527344 0.32557979376170459 |[[  1.00000000e+00   1.00000000e+00   8.07967100e-16]]|
58 19392 6962.7842817711171 7796199.3381347656 0.34097046097734091 |[[  1.00000000e+00   1.00000000e+00   1.69269247e-32]]|
59 19517 7288.9833092496974 5578146.3205566406 0.34536853371219639 |[[  1.00000000e+00   1.00000000e+00   8.31315758e-23]]|
60 19594 3970.2551409230105 3143829.5498046875 0.33512585754700092 |[[ -1.00000000e+00   1.00000000e+00   1.25696143e-18]]|
61 19678 4533.7266148072467 9603873.8393554688 0.32557979376170459 |[[  1.00000000e+00   1.00000000e+00   4.02034560e-17]]|
62 19851 10277.768307389511 6828794.8383789062 0.34451335980000697 |[[ -1.00000000e+00   1.00000000e+00   3.23353153e-18]]|
63 19963 6407.6085139011057 8482731.9326171875 0.34685932250140511 |[[  1.00000000e+00   1.00000000e+00   2.10314084e-21]]|
64 20081 7021.8995478682864 6347187.7998046875 0.34419206196322966 |[[  1.00000000e+00   1.00000000e+00   1.18033584e-21]]|
65 20201 7280.4619421593616 2421399.0173339844 0.34229447534585666 |[[ -1.00000000e+00   1.00000000e+00   4.71865611e-17]]|
66 20691 32017.880925211546 37818539.455810547 0.34993624581194815 |[[  1.00000000e+00   1.00000000e+00   3.91302999e-21]]|
67 20842 8693.5316889999776 11364790.663085938 0.34618294790312409 |[[  1.00000000e+00   1.00000000e+00   9.43871543e-22]]|
68 21323 30395.648803196116 33368583.370849609 0.34102640073023699 |[[ -1.00000000e+00   1.00000000e+00   2.12057031e-17]]|
69 21434 6169.2113517801299 4965071.7939453125 0.35100254749110527 |[[  1.00000000e+00   1.00000000e+00   2.07723767e-19]]|
70 21915 31934.563723257979 37081159.025146484 0.34593573706283204 |[[ -1.00000000e+00   1.00000000e+00   2.02944462e-18]]|
71 22066 9055.4590750930201 9246471.0639648438 0.34273557758787432 |[[ -1.00000000e+00   1.00000000e+00   9.95845324e-19]]|
72 22191 7201.2175309439945 9208539.0300292969 0.34904790026114751 |[[ -1.00000000e+00   1.00000000e+00   9.68252001e-20]]|
73 22294 5394.6299720062952 8430482.5874023438 0.32705975658599756 |[[  1.00000000e+00   1.00000000e+00   3.06371552e-16]]|
74 22560 15955.205138039051 19179256.912597656 0.3398622488314062 |[[ -1.00000000e+00   1.00000000e+00   1.01663978e-14]]|
75 22723 9990.9804296617604 13058862.56640625 0.3423785449062729 |[[  1.00000000e+00   1.00000000e+00   9.82628837e-29]]|
76 22825 5435.159411669887 6195492.1374511719 0.33026109549062377 |[[ -1.00000000e+00   1.00000000e+00   9.11396948e-15]]|
77 22994 10557.636928960903 7046346.9743652344 0.3506946117383743 |[[ -1.00000000e+00   1.00000000e+00   9.94368600e-19]]|
78 23210 12853.184347171391 13741887.951904297 0.34748958294322169 |[[ -1.00000000e+00   1.00000000e+00   3.03821288e-18]]|
79 23322 6507.3053831051047 6781738.5539550781 0.34790466704579937 |[[  1.00000000e+00   1.00000000e+00   1.69057229e-21]]|
80 23770 29692.808689184363 39128961.510009766 0.33199132290816635 |[[  1.00000000e+00   1.00000000e+00   1.31472631e-22]]|
81 24232 30311.725525926493 25625609.857299805 0.34632890000336342 |[[  1.00000000e+00   1.00000000e+00   5.79272907e-22]]|
82 24343 6313.1711611678547 11793756.805908203 0.34233997952401296 |[[ -1.00000000e+00   1.00000000e+00   1.80150663e-22]]|
83 24506 9412.9230399095377 12007497.570068359 0.3415835466686144 |[[  1.00000000e+00   1.00000000e+00   3.01378112e-22]]|
84 24590 4466.4635643597703 5768491.5185546875 0.33721676564509551 |[[  1.00000000e+00   1.00000000e+00   3.24773177e-20]]|
85 24702 5924.5880530893419 7528901.6860351562 0.34183187451572261 |[[ -1.00000000e+00   1.00000000e+00   3.54659544e-21]]|
86 25143 28739.65665461633 32241391.679931641 0.32574298274503022 |[[ -1.00000000e+00   1.00000000e+00   1.29254634e-16]]|
87 25317 9509.849426247074 14676682.063476562 0.34551174559392095 |[[ -1.00000000e+00   1.00000000e+00   9.74232336e-19]]|
88 25769 29111.298206067833 34798625.828369141 0.34041649611278973 |[[  1.00000000e+00   1.00000000e+00   2.98950104e-18]]|
89 26256 31893.246163441796 34427959.479980469 0.35096830692113018 |[[  1.00000000e+00   1.00000000e+00   1.40455238e-21]]|
90 26333 4176.0469751058408 5828203.3671875 0.33658761368553253 |[[ -1.00000000e+00   1.00000000e+00   4.90831108e-17]]|
91 26683 21924.552466593159 25251677.927734375 0.31634783647916515 |[[ -1.00000000e+00   1.00000000e+00   1.05718788e-19]]|
92 26904 11384.919576137709 12426962.836669922 0.34856368974147722 |[[ -1.00000000e+00   1.00000000e+00   3.50550913e-18]]|
93 26999 4582.1973272208534 8917800.880859375 0.3366398170304114 |[[  1.00000000e+00   1.00000000e+00   1.58891455e-22]]|
94 27114 6497.8409177238345 6707505.9916992188 0.34752111858865392 |[[  1.00000000e+00   1.00000000e+00   5.54169587e-20]]|
95 27567 28951.737353277269 37338365.935058594 0.34898759594669648 |[[  1.00000000e+00   1.00000000e+00   2.77177341e-19]]|
96 27708 7680.9476815732232 9008814.4118652344 0.34267779827969513 |[[ -1.00000000e+00   1.00000000e+00   3.11181166e-21]]|
0 431 23081.281588905265 2186300.6048583984 0.23683005420294503 |[[-0.45738021  0.74110476 -0.12943158]]|
0 93 396.23058457372349 927.62059959769249 0.02303967391305874 |[[ 0.14680698  0.3946518  -0.12359162]]|
1 274 428.66721539934838 677.94989567995071 0.027553033520568024 |[[ 0.40746461  0.55106115 -0.09430262]]|
2 565 2706.8056587261094 1292.169387832284 0.19744537141072138 |[[-0.23365297  0.68321238  0.02179493]]|
3 667 2452.3715521185454 2008.4373605251312 0.19221707407876815 |[[ 0.22120273  0.30428435  0.14474498]]|
4 2219 2147.9059031087222 9970.8958985805511 0.094865869661832886 |[[ 0.33784851  0.90573727 -0.05752113]]|
5 3958 2071.7380760148799 12849.960047159344 0.099228688807589088 |[[ 0.27548624  0.4896097   0.18183852]]|
6 5007 -99.027581712943814 13226.80377138406 0.040645472140411268 |[[-0.43199426  0.33223604 -0.14141641]]|
7 6259 72.031156099965926 27981.868139266968 0.087718931344279397 |[[-0.17909451  0.41679328 -0.16039431]]|
8 7501 -276.85534765822808 47213.715502381325 0.046591846171765164 |[[-0.27769306  0.83273795 -0.09788472]]|
9 8757 -227.44178925974899 73900.030949354172 0.063370311551028055 |[[-0.26158665  0.86706703 -0.08395377]]|
10 10273 -296.00700030065087 114515.55545401573 0.040816883711929285 |[[-0.23550742  0.41701893 -0.12904324]]|
11 11841 68.11063224443177 157188.1163880229 0.095213208200894767 |[[-0.48211632  0.53461345 -0.00588921]]|
